Model	R2	Dataset
Protein abundance ~ Avoidance	0.3572	GFP
Protein abundance ~ Avoidance	0.3444	Kudla et. al. 2009
Protein abundance ~ Avoidance	0.01313	E. coli (388)
Protein abundance ~ Avoidance	0.02851	Pseudomonas 1148
Protein abundance ~ Avoidance	0.005346	sGFP Goodman
Protein abundance ~ Avoidance	0.01102	Lu E.coli
Protein abundance ~ Avoidance	0.01912	Kwon Pseudomonas
Protein abundance ~ Avoidance + Folding Energy	0.4019	GFP
Protein abundance ~ Avoidance + Folding Energy	0.4575	Kudla et. al. 2009
Protein abundance ~ Avoidance + Folding Energy	0.0155	E. coli (388)
Protein abundance ~ Avoidance + Folding Energy	0.03364	Pseudomonas 1148
Protein abundance ~ Avoidance + Folding Energy	0.07931	sGFP Goodman
Protein abundance ~ Avoidance + Folding Energy	0.01126	Lu E.coli
Protein abundance ~ Avoidance + Folding Energy	0.02821	Kwon Pseudomonas
Protein abundance ~ Avoidance + Folding Energy + CAI	0.3942	GFP
Protein abundance ~ Avoidance + Folding Energy + CAI	0.4548	Kudla et. al. 2009
Protein abundance ~ Avoidance + Folding Energy + CAI	0.1107	E. coli (388)
Protein abundance ~ Avoidance + Folding Energy + CAI	0.03766	Pseudomonas 1148
Protein abundance ~ Avoidance + Folding Energy + CAI	0.1145	sGFP Goodman
Protein abundance ~ Avoidance + Folding Energy + CAI	0.1932	Lu E.coli
Protein abundance ~ Avoidance + Folding Energy + CAI	0.03127	Kwon Pseudomonas
Protein abundance ~ Avoidance + Folding Energy + CAI + mRNA abundance	0.6902	GFP
Protein abundance ~ Avoidance + Folding Energy + CAI + mRNA abundance	0.5974	Kudla et. al. 2009
Protein abundance ~ Avoidance + Folding Energy + CAI + mRNA abundance	0.422	E. coli (388)
Protein abundance ~ Avoidance + Folding Energy + CAI + mRNA abundance	0.4933	Pseudomonas 1148
Protein abundance ~ Avoidance + Folding Energy + CAI + mRNA abundance	0.1756	sGFP Goodman
Protein abundance ~ Avoidance + Folding Energy + CAI + mRNA abundance	0.47	Lu E.coli
Protein abundance ~ Avoidance + Folding Energy + CAI + mRNA abundance	0.5122	Kwon Pseudomonas
